date,TPE entry
2020-01-01,57913
2020-01-02,52751
2020-01-03,51038
2020-01-04,49661
2020-01-05,54645
2020-01-06,49199
2020-01-07,46063
2020-01-08,49165
2020-01-09,60189
2020-01-10,66449
2020-01-11,49669
2020-01-12,43797
2020-01-13,39752
2020-01-14,40976
2020-01-15,46192
2020-01-16,51832
2020-01-17,58169
2020-01-18,59866
2020-01-19,58017
2020-01-20,57064
2020-01-21,59421
2020-01-22,65754
2020-01-23,66838
2020-01-24,58104
2020-01-25,49115
2020-01-26,52510
2020-01-27,61020
2020-01-28,66042
2020-01-29,68663
2020-01-30,57762
2020-01-31,55776
2020-02-01,57427
2020-02-02,61542
2020-02-03,54402
2020-02-04,49419
2020-02-05,49199
2020-02-06,46307
2020-02-07,43813
2020-02-08,44552
2020-02-09,48143
2020-02-10,41224
2020-02-11,35831
2020-02-12,31590
2020-02-13,29771
2020-02-14,28075
2020-02-15,28381
2020-02-16,28943
2020-02-17,24821
2020-02-18,24103
2020-02-19,20873
2020-02-20,20008
2020-02-21,19271
2020-02-22,19601
2020-02-23,19692
2020-02-24,14796
2020-02-25,14197
2020-02-26,12881
2020-02-27,12050
2020-02-28,12480
2020-02-29,13801
2020-03-01,16884
2020-03-02,12562
2020-03-03,13171
2020-03-04,10849
2020-03-05,10210
2020-03-06,9170
2020-03-07,10782
2020-03-08,11588
2020-03-09,8858
2020-03-10,8636
2020-03-11,7745
2020-03-12,8546
2020-03-13,7869
2020-03-14,10039
2020-03-15,10349
2020-03-16,9267
2020-03-17,9381
2020-03-18,9038
2020-03-19,8751
2020-03-20,7345
2020-03-21,6062
2020-03-22,5596
2020-03-23,3414
2020-03-24,3817
2020-03-25,4317
2020-03-26,3507
2020-03-27,3355
2020-03-28,2571
2020-03-29,2450
2020-03-30,2027
2020-03-31,2742
2020-04-01,1929
2020-04-02,1886
2020-04-03,1398
2020-04-04,941
